2020-01-26,12:21,GP,Svahn enda svenskan i sprintsemifinal,https://gp.se/sport/svahn-enda-svenskan-i-sprintsemifinal-1.23114249
2020-01-26,12:21,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:21,IDG,Enligt en undersökning från Telenor och Sifo är nio av tio anställda på svenska företag en säkerhetsrisk. Vanligaste riskbeteendet är osäkra lösenord, och allra värst är det med de yngre.,https://computersweden.idg.se/2.2683/1.729680/telenor-anstallda-sakerhetsrisk
2020-01-26,12:22,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:23,GP,Företaget som vill ersätta engångsplast med potatis,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:23,GP,Svahn enda svenskan i sprintsemifinal,https://gp.se/sport/svahn-enda-svenskan-i-sprintsemifinal-1.23114249
2020-01-26,12:23,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:23,IDG,Enligt en undersökning från Telenor och Sifo är nio av tio anställda på svenska företag en säkerhetsrisk. Vanligaste riskbeteendet är osäkra lösenord, och allra värst är det med de yngre.,https://computersweden.idg.se/2.2683/1.729680/telenor-anstallda-sakerhetsrisk
2020-01-26,12:25,GP,Företaget som vill ersätta engångsplast med potatis,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:25,GP,Svahn enda svenskan i sprintsemifinal,https://gp.se/sport/svahn-enda-svenskan-i-sprintsemifinal-1.23114249
2020-01-26,12:25,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:25,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:26,GP,Potatis kan ersätta plast när engångsprodukter förbjuds,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:26,GP,Svahn enda svenskan i sprintsemifinal,https://gp.se/sport/svahn-enda-svenskan-i-sprintsemifinal-1.23114249
2020-01-26,12:26,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:26,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:27,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:30,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:30,GP,Potatis kan ersätta plast när engångsprodukter förbjuds,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:30,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:30,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:30,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:35,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:35,GP,Potatis kan ersätta plast när engångsprodukter förbjuds,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:35,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:35,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:35,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:35,GP,Potatis kan ersätta plast när engångsprodukter förbjuds,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:35,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:35,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:35,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:35,GP,Potatis kan ersätta plast när engångsprodukter förbjuds,https://gp.se/ekonomi/bolaget-som-vill-ers%C3%A4tta-eng%C3%A5ngsplast-med-potatis-1.22961727
2020-01-26,12:35,GP,Han bär lagkaptensbindeln i Blåvitt,https://gp.se/sport/fotboll/han-b%C3%A4r-lagkaptensbindeln-i-bl%C3%A5vitt-1.23118497
2020-01-26,12:35,IDG,Ett intrång i nätverket på ett europeiskt energibolag har stoppats efter att ha pågått från november förra året till januari i år. Iranska staten misstänks ligga bakom attacken.,https://computersweden.idg.se/2.2683/1.729667/cyberattack-energibolag-iran
2020-01-26,12:36,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:36,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:36,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:36,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:38,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:38,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:38,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:38,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:38,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:38,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
2020-01-26,12:38,GP,Svahn enda svenskan i semi efter vallaflopp,https://gp.se/sport/svahn-enda-svenskan-i-semi-efter-vallaflopp-1.23114249
2020-01-26,12:38,IDG,Tack vare en 3d-bild som består av flera biljoner pixlar kommer forskare att kunna se hur olika delar av hjärnan kommunicerar med varandra.,https://techworld.idg.se/2.2524/1.729637/google-hjarna
2020-01-26,12:39,GP,Norge och Danmark avråder från resor,https://gp.se/nyheter/v%C3%A4rlden/norge-och-danmark-avr%C3%A5der-fr%C3%A5n-resor-1.23118377
2020-01-26,12:39,GP,Åtta drabbade i pågående gasutsläpp,https://gp.se/nyheter/sverige/%C3%A5tta-drabbade-i-p%C3%A5g%C3%A5ende-gasutsl%C3%A4pp-1.23116678
